ref,text,modern_text
,"Дощ лле, як з луба.","Дощ лиє, як з луба."
,"Дощ лле, як з бочки.","Дощ лиє, як з бочки."
,"Ллє, як з коновки.","Лиє, як з коновки."
,Без лопати не можпа з хати (дощ великий).,Без лопати не можна з хати (дощ великий).
,"Обмок, як вовк.","Обмок, як вовк."
,Нитки сухої на йому нема.,Нитки сухої на ньому нема.
580,"Оцей дощ глухий: не йде, де просять, а йде, де косять; не йде, де чорно, а йде, де вчора.","Оцей дощ глухий: не йде, де просять, а йде, де косять; не йде, де чорно, а йде, де вчора."
,"Йди, дощику, де чорно -- ні, не йду, де вчора; йди, дощику, де ждуть -- ні, не йду, де жнуть.","Йди, дощику, де чорно — ні, не піду, де вчора; йди, дощику, де ждуть — ні, не піду, де жнуть."
,"Не треба Бога о дощ просити: буде він, як станем косити.","Не треба Бога про дощ просити: буде він, як станем косити."
,"Нехай іде дощ! наловим риби, буде борщ.","Нехай іде дощ! наловимо риби, буде борщ."
,Бог приспоряє й раннюю й пізнюю росою.,Бог приспоряє і ранньою й пізньою росою.
,"Так тихо, хоч мак сій.","Так тихо, хоч мак сій."
,"Темно, хоч очі повиколюй; тихо, хоч мак сій.","Темно, хоч очі повиколи; тихо, хоч мак сій."
,Ніч така тиха -- ніщо не пискне.,Ніч така тиха — ніщо не пискне.
590,"Темно, хоч очі повиколюй.","Темно, хоч очі повиколи."
,"Так місячно, хоч голки збірай.","Так місячно, хоч голки збирай."
,Ніч нікому не спріяє.,Ніч нікому не сприяє.
,"Молодик, як бик!","Молодик, як бик!"
,"Ой місяцю-місяцю! світиш, та не грієш -- даремне в Бога хліб іси.","Ой місяцю-місяцю! світиш, та не грієш — даремно в Бога хліб їси."
,Ранок -- панок.,Ранок — панок.
,В погоду й смутний веселим буває.,В погоду й смутний веселим буває.
600,"Так се сонце (осіннє) світить, як Циганова мати жалує.","Так це сонце (осіннє) світить, як циганова мати жалує."
,Пар кості не ломить.,Пара кісток не ломить.
,"Так тепло, аж пар кості ломить.","Так тепло, аж пара кістки ломить."
,"Душно, так й парить.","Душно, так і парить."
,"Вьосени, ложка води, а дві грязі.","Восени, ложка води, а дві грязі."
,Восени дня година.,Восени дня година.
,Восени й горобець багатий.,Восени й горобець багатий.
,Вьвосені й у горобця є пиво.,Восени й у горобця є пиво.
,"Покинь віз, покинь віз, візьми сані.","Покинь віз, покинь віз, візьми сані."
,"Влень тріщить, а вночі наляє.","Вдень тріщить, а вночі налягає."
,"Зімою сонце світить, та не гріє.","Взимку сонце світить, та не гріє."
,"Зімне сонце, як мачушине серце.","Зимне сонце, як мачухине серце."
,"Зімноє тепло, як мачушино добро.","Зимнє тепло, як мачухине добро."
620,"Ні холодно, ні душно: як на святках у сіряках.","Ні холодно, ні душно: як на святках у сіряках."
,"Зіма біла, але не їсть снігу, а все сіно.","Зима біла, але не їсть снігу, а все сіно."
,"Іди зіма до Бучина, бо вже ти нам дікучила.","Іди зима до Бучина, бо вже ти нам докучила."
,"Удень плющить, а вночі тріщить.","Вдень плющить, а вночі тріщить."
,"Сніг, мов з рукава.","Сніг, мов з рукава."
,Заверюха -- треба кожуха.,Завірюха — треба кожуха.
,"Оце мороз, з очима!","Оце мороз, з очима!"
630,Козацький мороз!,Козацький мороз!
,"Ото мороз, аж скрипить!","Ото мороз, аж скрипить!"
,"Мороз, аж скалки скачуть.","Мороз, аж іскри скачуть."
,Як у забій б'є мороз (день у день).,Як у забій б'є мороз (день у день).
,Аж шпари зайшли -- такий мороз.,Аж щілини зайшли — такий мороз.
,Аж зорі скачуть.,Аж зорі скачуть.
,Аж дух захватує.,Аж дух захоплює.
,Хоч вовків ганяй (холодно).,Хоч вовків ганяй (холодно).
,"Холодно, неначе перед Різдвом.","Холодно, неначе перед Різдвом."
640,"Так холодно, що як би не вмів дрижать, то змерз би.","Так холодно, що якби не вмів дрижати, то змерз би."
,"Мороз не велик, та стоять не велить.","Мороз не великий, та стояти не велить."
,Холод не свій брат!,Холод не свій брат!
,"Голодний поле перебіжить, а голий ні.","Голодний поле перебіжить, а голий ні."
650,"Овес у трьох кожухах, та вітру боїдця.","Овес у трьох кожухах, та вітру боїться."
,"Дриготяш, як зімою хорт.","Дрижиш, як взимку хорт."
,"Змерз, як собака.","Змерз, як собака."
,Я дав би дві зімі за одно літо.,Я дав би дві зими за одне літо.
,"Як поночі в'яли, так я в ТІ ГОДА дивувавсь.","Як поночі в'яли, так я в ті роки дивувався."
,Адамові літа з починку світа.,Адамові літа від початку світу.
660,Радимичане бояцця Вовчого Хвоста.,Радимичани бояться Вовчого Хвоста.
,"Романе, Романе! нічим живеш -- Литвою ореш.","Романе, Романе! нічим живеш — Литвою ореш."
,"Тепло, як за лихим паном.","Тепло, як за лихим паном."
,"Холодно, вдягнувшися у єдно!","Холодно, вдягнувшись в одно!"
,"Єдинаково в двоє, як ледачі обоє.","Однаково в двоє, як ледачі обоє."
,"Так замерзло, що хоч тури гони.","Так замерзло, що хоч турів гони."
,Од Богдана до Ивана не було гетьмана.,Від Богдана до Івана не було гетьмана.
,"Висипався Хміль з міха, та показав Ляхам лиха.","Висипався Хміль з міха, та показав Ляхам лиха."
,"Приймаємо тебе, Хмельницький пане, хлібом, сіллю й щирим серцем.","Приймаємо тебе, Хмельницький пане, хлібом, сіллю й щирим серцем."
,Мазепа в Полтаві подавивсь галушкою.,Мазепа в Полтаві подавився галушкою.
676,"Ой ти мати, Катерино, що ти з нами вробила! що край гарний та веселий та й занапастила.","Ой ти мати, Катерино, що ти з нами вробила! що край гарний та веселий та й занапастила."
678,Веліла мати й вал брати.,Веліла мати й вал брати.
,"За царя Саса наїлись люде хліба й м'яса; а як настав Понятовський, то все й пішло почортовський.","За царя Саса наїлися люди хліба й м'яса; а як настав Понятовський, то все й пішло почортовськи."
,"За царя Саса, тоді добре було: їж хліб, хоч розпережи паса.","За царя Саса, тоді добре було: їж хліб, хоч розпережи пояса."
,За короля Саса їж хліб та розв'язуй паса.,За короля Саса їж хліб та розв'язуй пояса.
680,"Бере живий жаль, як згадаєш старовину.","Бере живий жаль, як згадаєш старовину."
,"Минулися тії рока, що розпірали пироги бока.","Минулися ті роки, що розпирали пироги боки."
,"Де ся тії часи діли, що самі ковбаси до губи летіли!","Де ті часи ділися, що самі ковбаси до губи летіли!"
,"Було добро та давно, буде гаразд та незараз.","Було добро та давно, буде гаразд та не зараз."
,"Нового не запроваджай, старовини держись.","Нового не запроваджай, старовини держись."
,"Не за нас стало, не за нас і перестане.","Не за нас стало, не за нас і перестане."
,"Так за батьків було, так і нам треба.","Так за батьків було, так і нам треба."
,"Як діди і батьки наші робили, так і ми будемо.","Як діди і батьки наші робили, так і ми будемо."
,Тепер життя панам та котам.,Тепер життя панам та котам.
690,"На все не гаразд стало, а найпаче, що Бог хліба не родить.","На все не гаразд стало, а найпаче, що Бог хліба не родить."
,"Що далі на світі, гірш біда наставає: убогий чоловік зовсім погибає.","Що далі на світі, гірш біда наступає: убогий чоловік зовсім гине."
,Тепер правдою на світі не проживеш.,Тепер правдою на світі не проживеш.
,"Бувало стригало, а тепер голить.","Бувало стригало, а тепер голить."
,"Що рік, то й прорік.","Що рік, то й прорік."
,Доброго чоловіка тепер й з свічкою не найдеш.,Доброго чоловіка тепер і зі свічкою не знайдеш.
,Тепер розумніші яйця од курей.,Тепер розумніші яйця від курей.
,Усе пішло догори дном.,Усе пішло догори дном.
,"Наші діди зазнали біди, наші внуки зазнають муки.","Наші діди зазнали біди, наші внуки зазнають муки."
700,На ВКРАЇНІ добре жити: мед і вино пити.,На Вкраїні добре жити: мед і вино пити.
,"Нема слободи, як па Україні.","Нема свободи, як на Україні."
,"Гай-гай! добрий край, та лихая година з вами!","Гай-гай! добрий край, та лихая година з вами!"
,"Біда Україні: і оттоль гаряче, й отсель боляче.","Біда Україні: і звідтіль гаряче, й звідси боляче."
,Нанувала й я колись на широкім світі.,Панувала й я колись на широкому світі.
,"Заїхав за Дунай, та й додому не думай.","Заїхав за Дунай, та й додому не думай."
,"На Поділю хліб по кілю, а ковбасами хлів загороджений.","На Поділлі хліб по колу, а ковбасами хлів загороджений."
710,"Камьянець вінець: кругом вода, в середині біда.","Кам'янець вінець: кругом вода, в середині біда."
,У Печері -- лягай спать без вечері.,У Печері — лягай спати без вечері.
,Скирт ріка злу игру зиграла гражанам.,Стир ріка злу гру зіграла громадянам.
,Рогатин Богові побратим.,Рогатин Богові побратим.
,Дьвів не всякому здорів.,Львів не всякому здоровий.
720,"В Луцку все не по-людеку: навкруги вода, а в середині біда.","В Луцьку все не по-людськи: навкруги вода, а в середині біда."
,"Про Київ не жахайсь, Волиня пригортайсь, а Покутя тримайсь.","Про Київ не жахайся, Волиню пригортайся, а Покуття тримайся."
,"У Києві не женись, а в Ромні кобилу міняй.","У Києві не женися, а в Ромні кобилу міняй."
,Дніпро -- батько.,Дніпро — батько.
,Золотоноша кругом хороша.,Золотоноша кругом хороша.
,"Золотоноша з золота, а Дубні з лубкий тній возить.","Золотоноша із золота, а Дубні з луб'я легкі вози возить."
,"Обізвавсь Яготин: «Ніжен мені побратим», а Ніжен каже: «є у степу Ромен, та й той мені не рівен».","Обізвався Яготин: «Ніжин мені побратим», а Ніжин каже: «є у степу Ромен, та й той мені не рівня»."
730,В Хоролі всього доволі.,В Хоролі всього доволі.
,"Ворскла річка невеличка, береги займає; хто в Полтаві не буває, той лиха не знає.","Ворскла річка невеличка, береги займає; хто в Полтаві не буває, той лиха не знає."
,Ніжни більш од Носовки тільки одною хатою.,Ніжин більший від Носівки тільки одною хатою.
,"Як переїдеш Вересоч, так іди куди хоч.","Як переїдеш Вересоч, так іди куди хоч."
,"У Попівці люди по копійці, а в Конотопі -- до копи.","У Попівці люди по копійці, а в Конотопі — до копи."
,"У Попівці хліб по копійці, а у Перекопі хліб по копі.","У Попівці хліб по копійці, а у Перекопі хліб по копі."
740,"Як приїдеш у Сураж, то візьме тебе кураж.","Як приїдеш у Сураж, то візьме тебе кураж."
,"Сосниця роскошниця, великі вжитки: кругом вода, а всередині біда.","Сосниця розкошниця, великі вжитки: кругом вода, а всередині біда."
,"Сосниця роскошниця: є де сісти, та нічого їсти.","Сосниця розкошниця: є де сісти, та нічого їсти."
,"Ми люде торгові, народ промишленний.","Ми люди торгові, народ промисловий."
750,"Дов, Дон, а дома лучче.","Дон, Дон, а дома краще."
748,З Литвина не буде Христянина.,З Литвина не буде Христянина.
746,"«Литвинку, хороше танцюєш». -- «Треба, пане, тому лиху годити».","«Литвинко, хороше танцюєш». — «Треба, пане, тому лиху годити»."
,Без гетьмана військо гицо.,Без гетьмана військо гине.
,"Як череді без личмана, так козакам без гетьмана.","Як череді без личмана, так козакам без гетьмана."
,До булави треба голови.,До булави треба голови.
,"Аби б була булава, то найдецця голова.","Аби б була булава, то знайдеться голова."
,"Шропали пани гетьмани, а кобила порох ззіла.","Пропали пани гетьмани, а кобила порох з'їла."
,"Січ мати, а Великий Луг батько.","Січ мати, а Великий Луг батько."
,"Луг батько, а Січ мати -- одде треба помірати.","Луг батько, а Січ мати — тут треба помирати."
,«Пугу! пугу!» -- «Козак з Лугу!»,«Пугу! пугу!» — «Козак з Лугу!»
760,Чубатий де - лихо за собою несе.,Чубатий де — лихо за собою несе.
,"Козак не боїцця ні тучі, ні грому.","Козак не боїться ні тучі, ні грому."
,Зроду-звіку козак: не був й не буде катом!,Зроду-звіку козак: не був і не буде катом!
,"Де козак, там и слава.","Де козак, там і слава."
,Козак та воля -- залісна доля.,Козак та воля — заліська доля.
,Степь та воля -- козацька доля.,Степ та воля — козацька доля.
,"Коли козак в полі, то він на волі.","Коли козак в полі, то він на волі."
,"Козак, як не сало ість, не Турка рубає, так нужи шукає.","Козак, як не сало їсть, не Турка рубає, так нудьги шукає."
,"Козак -- душа правдивая, сорочки немає - коли не пье, так нужу бьє, а все не гуляє.","Козак — душа правдива, сорочки немає: коли не п'є, так нудьгу б'є, а все не гуляє."
770,Не наше діло у рясі стрибати: наше діло козацькеє конем з меренцем по степу гуляти.,Не наше діло у рясі стрибати: наше діло козацьке конем з меренцем по степу гуляти.
,Козацькому роду нема переводу.,Козацькому роду нема переводу.
,"У нас, де крак, там козак, а де байрак, там и сто козаків.","У нас, де крак, там козак, а де байрак, там і сто козаків."
,"Де байрак, там и козак.","Де байрак, там і козак."
,"Добрий козак баче, де отаман скаче.","Добрий козак бачить, де отаман скаче."
,"Козак з бідою, як риба з водою.","Козак з бідою, як риба з водою."
,Козак з біди не заплаче.,Козак з біди не заплаче.
,Козак журби не має.,Козак журби не має.
,"Козак у дорозі, а надія в Бозі.","Козак у дорозі, а надія в Бозі."
780,Місяць козаче сонце.,Місяць козаче сонце.
,"Нащо в Бога й день, як у козака місяць!","Нащо в Бога й день, як у козака місяць!"
,"Козак, як мала дитина.","Козак, як мала дитина."
,"Козаки, як діти: хоч багато -- поїдять, хоч трохи - наідяцця.","Козаки, як діти: хоч багато — поїдять, хоч трохи — наїдяться."
,"Птиця з птицею не набьецця, а козак з дівчиною не наживецця.","Птиця з птицею не набудеться, а козак з дівчиною не наживеться."
,"Козак, як голуб: знявся, та й полинув.","Козак, як голуб: знявся, та й полинув."
,На козаку й рогожа пригожа.,На козаку й рогожа пригожа.
,"Умер козак та й лежить, та й нікому затужить.","Умер козак та й лежить, та й нікому затужить."
,"Горе тому козакові, нема сіна лошакові.","Горе тому козакові, нема сіна лошакові."
,"Дожились козаки, нема хліба ні табаки.","Дожилися козаки, нема хліба ні тютюну."
790,"Звання козацьке, а життя собацьке.","Звання козацьке, а життя собацьке."
,"Горе нашому козацтву, що й підводника з возів пхають.","Горе нашому козацтву, що й підводника з возів пхають."
,Хохол більше нашого Богу упадає.,Хохол більше нашого Богу догоджає.
,Тверда Русь - все перебуде.,Тверда Русь — все перебуде.
,"У Лахів - пани, на Москві -- реб'вята, а у нас -- брати.","У Ляхів — пани, на Москві — хлоп'ята, а у нас — брати."
,"Ти козак, тільки чуб не так.","Ти козак, тільки чуб не так."
,Москаль казенна вещ.,Москаль казенна річ.
800,Іде москаля так як трави.,Іде москаля так як трави.
801,"Москалики, соколики, позаїдали ви наші волики; а як вернетесь здорови, то поїсте й корови.","Москалики, соколики, позаїдали ви наші волики; а як вернетесь здорові, то поїсте й корови."
803,Від москаля поли вріж та тікай.,Від москаля поли вріж та тікай.
,"Од чорта одхристнеся, а від москаля не одмолисся.","Від чорта відхрестишся, а від москаля не відмолишся."
,"З солдатом -- не з своїм братом, не стягайся.","З солдатом — не з своїм братом, не стягайся."
,Москаль не свій брат.,Москаль не свій брат.
,"Москалеві годи як трясці, а все бісом дивицця.","Москалеві годи як трясці, а все бісом дивиться."
,"Москаль з бісом порадились, та й на лихо понадились.","Москаль з бісом порадились, та й на лихо понадились."
,"«Тату, лізе чорт у хату!» -- «Дарма, аби ще москаль.»","«Тату, лізе чорт у хату!» — «Дарма, аби ще москаль.»"
810,"Вижу, що чорт москаля ніс у хажу.","Видно, що чорт москаля ніс у хату."
,"Мабуть москаль тоді красти перестане, як чорт молицьця Богу стане.","Мабуть москаль тоді красти перестане, як чорт молитися Богу стане."
,"Коли чорт та москаль що вкрали, то поминай, як звали.","Коли чорт та москаль що вкрали, то поминай, як звали."
,"На вовка помовка, а москаль кобилу вкрав.","На вовка помовка, а москаль кобилу вкрав."
,"Не за те москаля бьють, що краде, а за те, щоб умів кінці ховати.","Не за те москаля б'ють, що краде, а за те, щоб умів кінці ховати."
,"Ти, москалю, я добрий чоловік, та шинеля твоя злодій.","Ти, москалю, я добрий чоловік, та шинеля твоя злодій."
,Москаль викрутнями перебуваєцця.,Москаль викрутнями перебувається.
,"Коли москаль каже сухо, то піднімайся по ухо.","Коли москаль каже сухо, то піднімайся по вухо."
,"Москалем дружи, а камінь за пазухою держи.","Москалем дружи, а камінь за пазухою держи."
820,"З Москалем, бувай, а камень в пазусі тримай.","З москалем бувай, а камінь за пазухою тримай."
,"Варив чорт з москалем пиво, та й солоду відріксл.","Варив чорт з москалем пиво, та й солоду відрікся."
,"Москаль тоді правду скаже, як чорт молицьця стане.","Москаль тоді правду скаже, як чорт молитися стане."
,"Казав москаль право, та й збрехав браво.","Казав москаль правду, та й збрехав браво."
,Собака брехне -- москаль вірш пойме.,Собака брехне — москаль вірш поймає.
,"Москаль як ворона, та хитріший чорта.","Москаль як ворона, та хитріший чорта."
840,"Москаль не велик чоловік, та ба!","Москаль не велик чоловік, та ба!"
842,Москаль ликом чваницця й кожному під ніс з ним пхаєцця.,Москаль ликом чваниться й кожному під ніс з ним пхається.
844,"Москва на злиднях збудована, та й злиднями годована.","Москва на злиднях збудована, та й злиднями годована."
,"Хоч добрий чоловік, та москаль.","Хоч добрий чоловік, та москаль."
,"Москаль козака як раз огулить, а москаля й чорт не одурить.","Москаль козака як раз обдурить, а москаля й чорт не одурить."
,Москва сльозам не вірить.,Москва сльозам не вірить.
,Москаль на сльози не вдаря.,Москаль на сльози не вдаряє.
,"Москаль ликом в'язаний, у ликах ходо, та й всіх у ликах воде.","Москаль ликом в'язаний, у ликах ходить, та й всіх у ликах водить."
850,Не приходицця москаля дядьком звати.,Не личить москаля дядьком звати.
,"Москаль зна, та ще питаєцця.","Москаль знає, та ще питається."
,Московський підожди.,Московський зачекай.
853,"Московський час, як жидівський зараз.","Московський час, як жидівський зараз."
856,"Лях тоді добрий, як спить; а пробудицця, то біда.","Лях тоді добрий, як спить; а прокинеться, то біда."
,"Шляхтич з перевареної сироватки, шабелька на личку, перевеслом підперезаний.","Шляхтич з перевареної сироватки, шабелька на личку, перевеслом підперезаний."
860,"Провадь й мене и до Вени, а не зробиш Ляха з мене!","Провадь і мене і до Відня, а не зробиш Ляха з мене!"
,"Ляхи нам не пани, а ми їм не хлопці.","Ляхи нам не пани, а ми їм не хлопці."
,На один копил дідько всіх Ляхів строїв.,На один копил дідько всіх Ляхів строїв.
,За наші гріхи надходять Ляхи.,За наші гріхи надходять Ляхи.
,"Бьють не Ляхи, а наші гріхи.","Б'ють не Ляхи, а наші гріхи."
,"Хто Ляшка рубатиме, той козацьку клугу знатиме.","Хто Ляшка рубатиме, той козацьку науку знатиме."
,"Не рад Лях, що по уху ляп, а він хоче по друге.","Не рад Лях, що по вуху ляп, а він хоче по друге."
,"Знай, Ляше, по Случ наше.","Знай, Ляше, по Случ наше."
870,"Тікай, Ляше, бо все, що па тобі, то наше.","Тікай, Ляше, бо все, що на тобі, то наше."
,Страхи на Ляхи.,Страхи на Ляхи.
,"Трохи, трохи! посипались Ляхи.","Трохи, трохи! посипались Ляхи."
,"Доти Лях мутив, доки не наївся.","Доти Лях мутив, доки не наївся."
,"Лях як істи хоче, то свище.","Лях як їсти хоче, то свище."
,"Посуцься, Ляше, най Русин сяде!","Посунься, Ляше, нехай Русин сяде!"
,"Таки Ляхів гудьмо, але з Ляхами будьмо.","Таки Ляхів гудьмо, але з Ляхами будьмо."
880,"Що кому годицця: мужикові ціп, а Ляхові шабля.","Що кому годиться: мужикові ціп, а Ляхові шабля."
,"Ляхові курка, а мужикові шабля.","Ляхові курка, а мужикові шабля."
,"Мужик свиню любать, а Лях курку.","Мужик свиню любить, а Лях курку."
,"Мужик нігде не змерзне, як в груди; Жид в п'яти, а Лях в вуса.","Мужик ніде не змерзне, як в груди; Жид в п'яти, а Лях у вуса."
910,"Жид ні сіє, ні оре, а обманом живе.","Жид ні сіє, ні оре, а обманом живе."
,"Жид, як не обшукає, то навет и не пообідає.","Жид, як не обшукає, то навіть і не пообідає."
,"Жид, як не збреше, то удавицця.","Жид, як не збреше, то вдавиться."
,"Жид, нм молячи, вчицця обманути.","Жид, навіть молячись, вчиться обманути."
,Жидівське а панське не пропаде.,Жидівське а панське не пропаде.
,"Не займай Жида, не кадяй вида.","Не займай Жида, не кидай вида."
,"Як біда, то до Жида.","Як біда, то до Жида."
,"Як біда, то до Жида, а як мине біда -- най дідько бере Жида.","Як біда, то до Жида, а як мине біда — нехай дідько бере Жида."
,"Не робив Жид на хліб, та й Циган не буде.","Не робив Жид на хліб, та й Циган не буде."
930,Дай мені сили хоч комареву ніжечку.,Дай мені сили хоч комареву ніжечку.
,"Жату, сайа! мамо, лючьки! (Циганчя, чуючи, що смерть приходить).","Жити, сайа! мамо, лучче! (Циганча, чуючи, що смерть приходить)."
,Як не мають домів -- щоб ми щастя не мали (Цигане).,Як не мають домів — щоб ми щастя не мали (Цигане).
,Сильного руку Бог один судить.,Сильного руку Бог один судить.
,"З добрим думцею князь високого стола додумаєцця, а з лихим думцею й малого стола збудецця.","З добрим дорадником князь до високого стола додумається, а з лихим дорадником і малого стола позбудеться."
,"Посланця не б'ють, ні рубають.","Посланця не б'ють, ні рубають."
,"Чим більші коміри, тим більший пан.","Чим більші коміри, тим більший пан."
,Благородні -- хліба голодні.,Благородні — хліба голодні.
,"Не місце чоловіка красить, а чоловік місце.","Не місце чоловіка красить, а чоловік місце."
,"Немець каже, що постить все поло: вдень ість скоромне, а вночі постить.","Німець каже, що постить все наполовину: вдень їсть скоромне, а вночі постить."
,"Ой дай, жінко, нагая - проучити Німчая.","Ой дай, жінко, нагая — проучити Нiмчаю."
,"Доти чоловік добрий, доки його десятником не наставлять.","Доти чоловік добрий, доки його десятником не наставлять."
,Турма не дурна: без людей не бува.,Тюрма не дурна: без людей не буває.
,"Турма красна, а чорт їй рад.","Тюрма красна, а чорт їй радий."
,"Дай, Боже, панувать -- та на золотих кріслах сидіть.","Дай, Боже, панувати — та на золотих кріслах сидіти."
990,"Знай, миня, стійло.","Знай, миня, стійло."
,"Знай, коза, своє стійло.","Знай, коза, своє стійло."
,"Іди, де йдеш, та знай, коза, стійло.","Іди, де йдеш, та знай, коза, стійло."
,Свиня в нарятниках -- так вже й вінь!,Свиня в нарядниках — так вже й пані!
,"Знай, кобило, де брикати.","Знай, кобило, де брикати."
,Молоді на гетьманство.,Молоді на гетьманство.
,Яйця курей учать.,Яйця курей учать.
,Вищче лоба очи не ходять.,Вище лоба очі не ходять.
,Уха вищого лоба не ростуть.,Вуха вище лоба не ростуть.
,Гусь свині не товариш.,Гусь свині не товариш.
,Кінь золу не товариш.,Кінь золу не товариш.
,Ситий голодному не товариш.,Ситий голодному не товариш.
,Ситий голодному не вірить.,Ситий голодному не вірить.
1030,"Пан з паном, а Іван з Іваном.","Пан з паном, а Іван з Іваном."
,"Де соколи літають, там ворони не пускають.","Де соколи літають, там ворони не пускають."
,"Куди орли літають, туди сороки не пускають.","Куди орли літають, туди сороки не пускають."
,Орел не пристає з воробцями.,Орел не пристає з воробцями.
,"З паршивою головою, та в тин лізе.","З паршивою головою, та в тин лізе."
,З свинячим писком та в пшеничне тісто.,Зі свинячим писком та в пшеничне тісто.
,З свинячою мордою у бубличний ряд.,Зі свинячою мордою у бубличний ряд.
,"Хто ся з отрубами змішає, того свині ззідять.","Хто з висівками змішається, того свині з'їдять."
1041,"Як маєш кланяцьця лаптю, то луччє поклонись чоботу.","Як маєш кланятися лаптю, то краще поклонись чоботу."
1043,"Така честь, як на собаці лико.","Така честь, як на собаці лико."
,"Забув він, коли телятом був.","Забув він, коли телям був."
,"Голова голові, а хвіст хвостові -- не нас мовлячи.","Голова голові, а хвіст хвостові — не нас мовлячи."
,Сила на уданню належить.,Сила на удачу покладається.
,Силою не дають - силою однімають.,Силою не дають — силою відбирають.
,"Де розум не стає, там сила добуває.","Де розум не стає, там сила добуває."
,"Чия воля, того й сила.","Чия воля, того й сила."
,"Сила без голови шаліє, а розум без сили мліє.","Сила без голови шаліє, а розум без сили мліє."
,"Чи рада, чи перада, - гайда громада.","Чи рада, чи не рада, — гайда, громадо."
,"Як не йдеш по добрій волі, то підеш по неволі.","Як не йдеш по добрій волі, то підеш по неволі."
,"Кого прозьба не докаже, то докажуть буки.","Кого прохання не докаже, то доб'ють буки."
,"Коли не хоч почесськи, то буде по злодійськи.","Коли не хочеш по-чесному, то буде по-злодійськи."
,"Гнись, та роди.","Гнись, та роди."
,"Скачи, бабо, хоч задом, хоч передом, а все підуть своїм чередом.","Скачи, бабо, хоч задом, хоч передом, а все підуть своїм чередом."
,"Хоч трусися, не трусися, а ти, гладка, вдасися.","Хоч трусися, не трусися, а ти, гладка, вдасися."
,"Хоч нерад, то мусиш.","Хоч нерад, то мусиш."
,"Хоч спор, хоч лайся.","Хоч сперечайся, хоч лайся."
,"Іди, Ляше, на наше.","Іди, Ляше, на наше."
1070,"Ляче, не буде інакше!","Ляче, не буде інакше!"
,"Як не ради, а не буде так, як ти хочеш, так буде, як Бог дасть.","Як не ради, а не буде так, як ти хочеш, так буде, як Бог дасть."
,"Як се Настя скаже, так и буде.","Як це Настя скаже, так і буде."
,"Не рада коза на торг, та несуть.","Не рада коза на торг, та несуть."
,"Просили -- не хотів, казали -- мусив.","Просили — не хотів, казали — мусив."
,"Або дай, або видеру.","Або дай, або видеру."
,"Тни, та роди.","Тни, та роди."
,Загад діло справує.,Наказ діло справляє.
,Сплованим конем не вскач.,Зляканим конем не вскач.
,"Силою колодязь копать, воді не пить.","Силою колодязь копати, воду не пити."
,Против сили и віл не потягне.,Проти сили і віл не потягне.
1090,Проти рожна не працевать.,Проти рожна не працювати.
,Пугою обуха не пересілепі.,Пугою обуха не переб'єш.
,Против гори піском не сипать.,Проти гори піском не сипати.
,Сила солому ломить.,Сила солому ломить.
,Вода й камень довба.,Вода й камінь довбає.
,"Коли не здужаєш, не піднімайся.","Коли не здужаєш, не піднімайся."
,"З багатим не судися, а з дужим не борися.","З багатим не судися, а з дужим не борися."
1100,Не дмухай проти вітру.,Не дмухай проти вітру.
,Против води пливе.,Проти води пливе.
,"Язиче, язиче, лихо тебе миче!","Язиче, язиче, лихо тебе миче!"
,Язичку-язичку! маленька штучка -- велике лихо робиш.,Язичку-язичку! маленька штучка — велике лихо робиш.
,"Що вимовиш язиком, то не витягнеш і колом.","Що вимовиш язиком, то не витягнеш і колом."
,"Хто язик держить за зубами, то того нічого не кортить.","Хто язик держить за зубами, того нічого не кортить."
,"Мовчи, язичку, будеш їв плотичку.","Мовчи, язичку, будеш їсти плотичку."
,"Помовчи, язичку, кашки дам.","Помовчи, язичку, кашки дам."
,Держи язик за зубами.,Держи язик за зубами.
,"Їж борщ з грибами, держи язик за зубами.","Їж борщ з грибами, держи язик за зубами."
1110,"Мовчи, глуха, менше гріха.","Мовчи, глуха, менше гріха."
,Мовчи та потакуй.,Мовчи та потакуй.
,"Їж зубами, а придержуй губами.","Їж зубами, а придержуй губами."
